id,crop,date,region,quantity_kg
1,Tomato,2026-03-17,Chandigarh,100
2,Tomato,2026-03-18,Ludhiana,50
3,Tomato,2026-03-18,Chandigarh,50
4,Tomato,2026-03-19,Ambala,200
5,Tomato,2026-03-20,Chandigarh,100
6,Tomato,2026-03-20,Ambala,100
7,Tomato,2026-03-21,Hisar,300
8,Tomato,2026-03-21,Ambala,150
9,Tomato,2026-03-21,Chandigarh,200
10,Tomato,2026-03-22,Hisar,300
11,Tomato,2026-03-23,Panipat,200
12,Tomato,2026-03-23,Gurugram,150
13,Tomato,2026-03-23,Ludhiana,100
14,Tomato,2026-03-24,Sonipat,200
15,Tomato,2026-03-26,Chandigarh,150
16,Tomato,2026-03-27,Gurugram,300
17,Tomato,2026-03-27,Karnal,100
18,Tomato,2026-03-27,Karnal,300
19,Tomato,2026-03-28,Panipat,150
20,Tomato,2026-03-28,Sonipat,100
21,Tomato,2026-03-30,Gurugram,50
22,Tomato,2026-03-30,Gurugram,300
23,Tomato,2026-03-31,Hisar,300
24,Tomato,2026-04-01,Panipat,200
25,Tomato,2026-04-01,Rohtak,300
26,Tomato,2026-04-02,Rohtak,50
27,Tomato,2026-04-02,Karnal,150
28,Tomato,2026-04-02,Sonipat,150
29,Tomato,2026-04-03,Panipat,100
30,Tomato,2026-04-03,Rohtak,150
31,Tomato,2026-04-03,Karnal,300
32,Tomato,2026-04-04,Delhi,300
33,Tomato,2026-04-04,Chandigarh,100
34,Tomato,2026-04-04,Chandigarh,200
35,Tomato,2026-04-04,Karnal,300
36,Tomato,2026-04-04,Panipat,50
37,Tomato,2026-04-05,Hisar,200
38,Tomato,2026-04-05,Hisar,150
39,Tomato,2026-04-05,Chandigarh,50
40,Tomato,2026-04-06,Ambala,200
41,Tomato,2026-04-06,Karnal,150
42,Tomato,2026-04-06,Ambala,300
43,Tomato,2026-04-07,Ambala,100
44,Tomato,2026-04-07,Karnal,150
45,Tomato,2026-04-09,Delhi,100
46,Tomato,2026-04-09,Sonipat,300
47,Tomato,2026-04-09,Delhi,200
48,Tomato,2026-04-10,Panipat,100
49,Tomato,2026-04-10,Sonipat,300
50,Tomato,2026-04-10,Panipat,50
51,Tomato,2026-04-10,Gurugram,200
52,Tomato,2026-04-11,Sonipat,50
53,Tomato,2026-04-11,Sonipat,150
54,Tomato,2026-04-11,Ambala,50
55,Tomato,2026-04-12,Panipat,200
56,Tomato,2026-04-12,Ambala,300
57,Tomato,2026-04-13,Gurugram,50
58,Tomato,2026-04-14,Karnal,100
59,Tomato,2026-04-14,Chandigarh,50
60,Tomato,2026-04-15,Chandigarh,100
61,Tomato,2026-04-16,Delhi,150
62,Tomato,2026-04-17,Karnal,100
63,Tomato,2026-04-17,Gurugram,150
64,Tomato,2026-04-17,Gurugram,150
65,Tomato,2026-04-18,Chandigarh,200
66,Tomato,2026-04-18,Chandigarh,50
67,Tomato,2026-04-18,Delhi,150
