crop,date,price_per_kg,market
Tomato,2025-09-13,25.79,Gurugram
Tomato,2025-09-14,26.0,Hisar
Tomato,2025-09-15,25.39,Panipat
Tomato,2025-09-16,27.29,Delhi
Tomato,2025-09-17,24.72,Ambala
Tomato,2025-09-18,30.45,Delhi
Tomato,2025-09-19,25.11,Karnal
Tomato,2025-09-20,27.63,Sonipat
Tomato,2025-09-21,30.12,Delhi
Tomato,2025-09-22,29.82,Gurugram
Tomato,2025-09-23,26.39,Ludhiana
Tomato,2025-09-24,29.59,Panipat
Tomato,2025-09-25,28.31,Chandigarh
Tomato,2025-09-26,24.82,Chandigarh
Tomato,2025-09-27,26.52,Delhi
Tomato,2025-09-28,30.25,Sonipat
Tomato,2025-09-29,26.34,Delhi
Tomato,2025-09-30,29.14,Sonipat
Tomato,2025-10-01,25.53,Ambala
Tomato,2025-10-02,25.2,Gurugram
Tomato,2025-10-03,25.17,Panipat
Tomato,2025-10-04,26.88,Panipat
Tomato,2025-10-05,29.15,Rohtak
Tomato,2025-10-06,24.57,Hisar
Tomato,2025-10-07,28.74,Rohtak
Tomato,2025-10-08,24.09,Sonipat
Tomato,2025-10-09,27.68,Panipat
Tomato,2025-10-10,25.0,Ludhiana
Tomato,2025-10-11,27.22,Hisar
Tomato,2025-10-12,27.28,Delhi
Tomato,2025-10-13,24.54,Sonipat
Tomato,2025-10-14,27.21,Gurugram
Tomato,2025-10-15,27.43,Sonipat
Tomato,2025-10-16,26.58,Rohtak
Tomato,2025-10-17,25.9,Rohtak
Tomato,2025-10-18,29.25,Karnal
Tomato,2025-10-19,28.03,Delhi
Tomato,2025-10-20,26.18,Chandigarh
Tomato,2025-10-21,29.2,Hisar
Tomato,2025-10-22,29.71,Sonipat
Tomato,2025-10-23,29.45,Karnal
Tomato,2025-10-24,29.11,Sonipat
Tomato,2025-10-25,29.21,Rohtak
Tomato,2025-10-26,25.23,Gurugram
Tomato,2025-10-27,28.66,Hisar
Tomato,2025-10-28,28.78,Karnal
Tomato,2025-10-29,25.74,Delhi
Tomato,2025-10-30,26.41,Rohtak
Tomato,2025-10-31,29.12,Karnal
Tomato,2025-11-01,24.5,Ludhiana
Tomato,2025-11-02,25.33,Karnal
Tomato,2025-11-03,24.64,Karnal
Tomato,2025-11-04,25.6,Panipat
Tomato,2025-11-05,28.17,Panipat
Tomato,2025-11-06,25.35,Chandigarh
Tomato,2025-11-07,25.62,Chandigarh
Tomato,2025-11-08,25.24,Rohtak
Tomato,2025-11-09,24.06,Panipat
Tomato,2025-11-10,24.41,Panipat
Tomato,2025-11-11,23.64,Ambala
Tomato,2025-11-12,25.82,Gurugram
Tomato,2025-11-13,25.83,Chandigarh
Tomato,2025-11-14,24.07,Ambala
Tomato,2025-11-15,24.48,Rohtak
Tomato,2025-11-16,27.33,Rohtak
Tomato,2025-11-17,26.29,Chandigarh
Tomato,2025-11-18,27.21,Karnal
Tomato,2025-11-19,25.43,Delhi
Tomato,2025-11-20,28.64,Gurugram
Tomato,2025-11-21,26.85,Delhi
Tomato,2025-11-22,27.38,Panipat
Tomato,2025-11-23,26.21,Hisar
Tomato,2025-11-24,25.21,Panipat
Tomato,2025-11-25,26.46,Karnal
Tomato,2025-11-26,25.72,Hisar
Tomato,2025-11-27,27.13,Sonipat
Tomato,2025-11-28,26.79,Panipat
Tomato,2025-11-29,25.63,Rohtak
Tomato,2025-11-30,25.07,Karnal
Tomato,2025-12-01,24.83,Ambala
Tomato,2025-12-02,25.76,Gurugram
Tomato,2025-12-03,25.01,Ludhiana
Tomato,2025-12-04,26.12,Chandigarh
Tomato,2025-12-05,25.04,Sonipat
Tomato,2025-12-06,26.02,Panipat
Tomato,2025-12-07,25.25,Ambala
Tomato,2025-12-08,24.29,Karnal
Tomato,2025-12-09,26.07,Karnal
Tomato,2025-12-10,26.77,Sonipat
Tomato,2025-12-11,22.63,Karnal
Tomato,2025-12-12,27.69,Ambala
Tomato,2025-12-13,26.97,Delhi
Tomato,2025-12-14,24.88,Ambala
Tomato,2025-12-15,23.5,Hisar
Tomato,2025-12-16,25.07,Karnal
Tomato,2025-12-17,23.24,Rohtak
Tomato,2025-12-18,27.15,Delhi
Tomato,2025-12-19,26.54,Karnal
Tomato,2025-12-20,23.36,Chandigarh
Tomato,2025-12-21,24.87,Chandigarh
Tomato,2025-12-22,23.73,Delhi
Tomato,2025-12-23,24.81,Ludhiana
Tomato,2025-12-24,25.91,Chandigarh
Tomato,2025-12-25,25.52,Ludhiana
Tomato,2025-12-26,25.6,Chandigarh
Tomato,2025-12-27,24.61,Chandigarh
Tomato,2025-12-28,24.7,Sonipat
Tomato,2025-12-29,26.25,Ludhiana
Tomato,2025-12-30,24.7,Karnal
Tomato,2025-12-31,26.73,Panipat
Tomato,2026-01-01,25.36,Chandigarh
Tomato,2026-01-02,23.93,Karnal
Tomato,2026-01-03,22.86,Delhi
Tomato,2026-01-04,25.06,Karnal
Tomato,2026-01-05,22.82,Gurugram
Tomato,2026-01-06,25.94,Delhi
Tomato,2026-01-07,22.13,Karnal
Tomato,2026-01-08,23.35,Sonipat
Tomato,2026-01-09,24.96,Delhi
Tomato,2026-01-10,23.48,Gurugram
Tomato,2026-01-11,24.11,Hisar
Tomato,2026-01-12,21.69,Hisar
Tomato,2026-01-13,23.32,Ambala
Tomato,2026-01-14,26.1,Rohtak
Tomato,2026-01-15,25.64,Ambala
Tomato,2026-01-16,23.24,Rohtak
Tomato,2026-01-17,26.04,Panipat
Tomato,2026-01-18,25.09,Hisar
Tomato,2026-01-19,24.0,Chandigarh
Tomato,2026-01-20,25.29,Karnal
Tomato,2026-01-21,23.72,Panipat
Tomato,2026-01-22,23.45,Rohtak
Tomato,2026-01-23,23.2,Hisar
Tomato,2026-01-24,24.86,Ludhiana
Tomato,2026-01-25,25.83,Ambala
Tomato,2026-01-26,23.89,Hisar
Tomato,2026-01-27,24.17,Rohtak
Tomato,2026-01-28,21.63,Hisar
Tomato,2026-01-29,21.88,Ludhiana
Tomato,2026-01-30,22.09,Panipat
Tomato,2026-01-31,23.07,Karnal
Tomato,2026-02-01,22.53,Gurugram
Tomato,2026-02-02,23.98,Hisar
Tomato,2026-02-03,21.67,Hisar
Tomato,2026-02-04,21.53,Delhi
Tomato,2026-02-05,22.56,Chandigarh
Tomato,2026-02-06,20.56,Gurugram
Tomato,2026-02-07,21.37,Delhi
Tomato,2026-02-08,24.01,Rohtak
Tomato,2026-02-09,23.87,Karnal
Tomato,2026-02-10,21.22,Rohtak
Tomato,2026-02-11,23.22,Karnal
Tomato,2026-02-12,20.86,Delhi
Tomato,2026-02-13,22.93,Karnal
Tomato,2026-02-14,22.45,Panipat
Tomato,2026-02-15,23.88,Sonipat
Tomato,2026-02-16,23.1,Delhi
Tomato,2026-02-17,23.91,Sonipat
